BAIRROS;TOTAL RENDIMENTOS;POPULAÇÃO 2010;RENDA PERCAPTA;Classe
Ribeira;11.891.064;19.578;607,37;E
Rio Sena;4.406.705;16.379;269,05;E
Rio Vermelho;38.264.644;18.334;2.087,09;C
Roma;3.403.762;3.636;936,13;E
Saboeiro;6.945.287;6.682;1.039,40;D
Santa Cruz;11.943.759;27.083;441,01;E
Santa Luzia;2.118.714;7.702;275,09;E
Santa Mônica;5.318.927;7.389;719,84;E
Santo Agostinho;5.832.996;4.796;1.216,22;D
Santo Antônio;2.962.728;4.170;710,49;E
São Caetano;21.707.352;51.159;424,31;E
São Cristóvão;20.879.149;53.906;387,33;E
São Gonçalo;6.555.890;17.275;379,50;E
São João do Cabrito;6.080.962;21.284;285,71;E
São Marcos;8.882.774;28.591;310,68;E
São Rafael;20.970.339;25.790;813,12;E
São Tomé;1.938.666;6.946;279,11;E
Saramandaia;3.016.868;11.272;267,64;E
Saúde;6.581.715;6.232;1.056,12;D
Sete de Abril;5.874.372;18.215;322,50;E
Stella Maris;39.879.794;18.242;2.186,15;C
STIEP;28.063.169;13.646;2.056,51;C
Sussuarana;10.549.441;28.809;366,19;E
Tororó;3.888.640;4.717;824,39;E
Trobogy;6.599.428;7.158;921,97;E
Uruguai;12.547.317;30.370;413,15;E
Vale das Pedrinhas;2.436.329;5.162;471,97;E
Vale dos Lagos;10.862.238;12.860;844,65;E
Valéria;8.017.803;26.210;305,91;E
Vila Canária;5.568.853;11.218;496,42;E
Vila Laura;24.536.939;14.524;1.689,41;D
Vila Ruy Barbosa/Jadim Cruzeiro;9.544.125;19.448;490,75;E
Vitória;19.579.157;5.225;3.747,21;C
TOTAL SSA;1.998.838.238;2.675.395;747,12;
