"Bairro";"Sexo";"Data.Nascimento";"Estado.Nasc";"Estado_civil";"Cidade";"Curso_UCSAL";"ESCOLA.DE.Origem";"Classe"
"CABULA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"CABULA";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"CABULA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"CABULA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"CABULA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"D"
"CABULA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"CABULA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"CABULA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"CAIXA DAGUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"CASADO";"SALVADOR";"SI";"PUBLICA";"E"
"CAIXA DAGUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"CAIXA DAGUA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"CAIXA DAGUA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"CAIXA DAGUA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"E"
"CAIXA DAGUA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"CAJAZEIRAS";"FEMININO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"CAJAZEIRAS";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 30 a 34 anos";"BA";"DIVORCIADO";"SALVADOR";"ADS";"PUBLICA";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"ADS";"NAO INFORMADO";"E"
"CAJAZEIRAS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"CAJAZEIRAS V";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"CAJAZEIRAS VIII";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"CAJI";"MASCULINO";"Acima de 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"ADS";"PUBLICA";"CNI"
"CALCADA";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"CAMACARI";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"CNI"
"CAMACARI DE DENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"ADS";"PUBLICA";"CNI"
"CAMPINAS DE PIRAJA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"CANABRAVA";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"BES";"PUBLICA";"E"
"CANABRAVA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"CANDEAL";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"C"
"CANDEAL";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"C"
"CANDEIAS";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PRIVADA";"CNI"
"CANELA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"C"
"CANELA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"C"
"CAPELINHA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"CAPELINHA";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"CASTELO BRANCO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"CASTELO BRANCO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"CASTELO BRANCO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"CASTELO BRANCO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"CATU DE ABRANTES";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"CNI"
"CENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PRIVADA";"D"
"CENTRO";"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"ADS";"NAO INFORMADO";"D"
"CENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PUBLICA";"D"
"CENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"NAO INFORMADO";"D"
"CENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"SI";"PUBLICA";"D"
